asset,strategy,long_strike,short_strike,entry_cost,max_profit,spot_move,days_held,tp_level,sl_level,final_pnl,roi,exit_reason,profitable,volume,total_oi,strike
BTC,Long Straddle,,,8500.0,,-5,21,0.25,0.5,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.25,0.5,-4250.0,-50.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.25,0.5,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.25,0.5,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.25,0.5,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.25,0.75,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.25,0.75,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.25,0.75,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.25,0.75,-6375.0,-75.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.25,0.75,-2523.0499999999884,-29.68294117647045,expiry,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.25,0.75,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.25,0.75,2125.0,25.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.5,0.25,4250.0,50.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.5,0.25,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.5,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,0,30,0.5,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,5,21,0.5,0.25,-2125.0,-25.0,stop_loss,False,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,10,14,0.5,0.25,3094.9000000000087,36.41058823529422,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,15,7,0.5,0.25,4250.0,50.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-15,7,0.5,0.5,4250.0,50.0,take_profit,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-10,14,0.5,0.5,2376.899999999994,27.963529411764636,expiry,True,0.44,16.48,112000.0
BTC,Long Straddle,,,8500.0,,-5,21,0.5,0.5,-3241.0499999999884,-38.12999999999987,expiry,False,0.44,16.48,112000.0
