symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
XRP-27OCT25-2.325-C-USDT,2.43049443,0.13541202,0.0,0.0,0.7370761,1.80643309,0.00073449,-0.00940568,0.8022,2025-10-24 07:50:00.350448
XRP-27OCT25-2.1-C-USDT,2.43049443,0.3385466,0.0,0.0,0.92995559,0.53854681,0.00030244,-0.00534935,1.108,2025-10-24 07:50:00.686663
XRP-27OCT25-2.65-P-USDT,2.43049443,0.23260407,0.0,0.0,-0.8591113,1.1861147,0.00050327,-0.00672544,0.8371,2025-10-24 07:50:01.019419
XRP-27OCT25-2.4-P-USDT,2.43051257,0.05148747,0.0,0.0,-0.41311822,2.35238444,0.00087681,-0.01029294,0.7354,2025-10-24 07:50:01.349993
XRP-27OCT25-2.325-P-USDT,2.43051257,0.02991399,0.0,0.0,-0.26289479,1.80628128,0.00073445,-0.00940544,0.8022,2025-10-24 07:50:01.683413
XRP-7NOV25-1.8-C-USDT,2.4339,0.64449191,0.0,0.0,0.95030021,0.21671939,0.00049157,-0.00171996,0.989,2025-10-24 07:50:02.322446
XRP-7NOV25-2.1-P-USDT,2.4339,0.04193029,0.0,0.0,-0.17236172,0.61061046,0.00122265,-0.00377653,0.8731,2025-10-24 07:50:02.654039
XRP-7NOV25-2.6-C-USDT,2.4339,0.0898804,100.0,100.0,0.36845397,0.97481897,0.00180576,-0.00516,0.8077,2025-10-24 07:50:03.031241
XRP-7NOV25-2.3-C-USDT,2.4338,0.2294558,0.0,0.0,0.66603713,0.91928174,0.00174256,-0.00509582,0.8266,2025-10-24 07:50:03.363105
XRP-7NOV25-2.5-P-USDT,2.4338,0.19154618,0.0,0.0,-0.53562748,1.02738555,0.00190289,-0.0054373,0.8077,2025-10-24 07:50:03.689491
XRP-7NOV25-1.6-C-USDT,2.4338,0.83786843,0.0,0.0,0.98028751,0.09146447,0.00022904,-0.00088483,1.0919,2025-10-24 07:50:04.017201
XRP-7NOV25-2.4-C-USDT,2.4338,0.17169745,0.0,0.0,0.56647308,1.00955571,0.00188393,-0.00542362,0.8137,2025-10-24 07:50:04.352243
XRP-7NOV25-2.1-C-USDT,2.4338,0.37574569,0.0,0.0,0.82758061,0.61077638,0.00122286,-0.00377712,0.8731,2025-10-24 07:50:05.036427
XRP-7NOV25-3-C-USDT,2.4338,0.02270374,0.0,0.0,0.12136604,0.49582672,0.00096565,-0.00290133,0.8493,2025-10-24 07:50:05.384248
XRP-7NOV25-2.9-C-USDT,2.4338,0.03186203,0.0,0.0,0.16229267,0.6144357,0.00117607,-0.00347283,0.8347,2025-10-24 07:50:05.725334
XRP-7NOV25-3.6-C-USDT,2.4339,0.003728,0.0,0.0,0.02320849,0.12018413,0.00026295,-0.00088748,0.954,2025-10-24 07:50:06.360055
XRP-7NOV25-3.6-P-USDT,2.4339,1.169828,0.0,0.0,-0.97679152,0.12018413,0.00026295,-0.00088748,0.954,2025-10-24 07:50:06.689923
XRP-7NOV25-2.2-C-USDT,2.4339,0.29807733,0.0,0.0,0.75488979,0.77574512,0.0015059,-0.00450951,0.8464,2025-10-24 07:50:07.017841
XRP-7NOV25-1.4-C-USDT,2.4341,1.03563571,0.0,0.0,0.99254569,0.0354208,9.866e-05,-0.00042381,1.2142,2025-10-24 07:50:07.350120
XRP-7NOV25-2.9-P-USDT,2.4341,0.49780116,0.0,0.0,-0.83755049,0.61480636,0.00117696,-0.00347511,0.8346,2025-10-24 07:50:07.679877
XRP-7NOV25-1.4-P-USDT,2.4341,0.00153571,0.0,0.0,-0.00745431,0.0354208,9.866e-05,-0.00042381,1.2142,2025-10-24 07:50:08.008956
XRP-7NOV25-3.4-C-USDT,2.4343,0.00651079,0.0,0.0,0.03921895,0.1929027,0.0004062,-0.00131903,0.9178,2025-10-24 07:50:08.335923
XRP-7NOV25-3.4-P-USDT,2.4343,0.97221079,0.0,0.0,-0.96078106,0.1929027,0.0004062,-0.00131903,0.9178,2025-10-24 07:50:08.667409
XRP-7NOV25-2.4-P-USDT,2.4343,0.13767829,0.0,0.0,-0.4330222,1.00914733,0.00188391,-0.00542349,0.8137,2025-10-24 07:50:08.991969
XRP-7NOV25-3-P-USDT,2.4343,0.58845011,0.0,0.0,-0.87843309,0.49638849,0.00096697,-0.00290481,0.8491,2025-10-24 07:50:09.319644
