instrument,strike,expiration,option_type,underlying_price,mark_price,mark_iv,bid,ask,oi,volume,greeks,timestamp
ETH-27MAR26-2500-P,2500.0,1774598400000,put,4017.89,0.0317,74.02,0.031,0.0325,4760.0,57.0,"{'delta': -0.10963, 'gamma': 0.0001, 'vega': 4.88681, 'theta': -1.17862, 'rho': -2.38663}",2025-10-25T00:01:06.106534
ETH-27MAR26-2600-C,2600.0,1774598400000,call,4017.89,0.3895,73.25,0.388,0.391,986.0,0.0,"{'delta': 0.87572, 'gamma': 0.00011, 'vega': 5.34124, 'theta': -1.27476, 'rho': 8.21377}",2025-10-25T00:01:06.369624
ETH-27MAR26-2600-P,2600.0,1774598400000,put,4017.89,0.0366,73.25,0.0355,0.0375,2171.0,21.0,"{'delta': -0.12428, 'gamma': 0.00011, 'vega': 5.34124, 'theta': -1.27476, 'rho': -2.71746}",2025-10-25T00:01:06.630326
ETH-27MAR26-2800-C,2800.0,1774598400000,call,4017.91,0.3514,71.96,0.3495,0.353,883.0,0.0,"{'delta': 0.8431, 'gamma': 0.00013, 'vega': 6.25807, 'theta': -1.46734, 'rho': 8.30674}",2025-10-25T00:01:06.898398
ETH-27MAR26-2800-P,2800.0,1774598400000,put,4017.91,0.0482,71.96,0.0475,0.049,2660.0,1.0,"{'delta': -0.1569, 'gamma': 0.00013, 'vega': 6.25807, 'theta': -1.46734, 'rho': -3.46536}",2025-10-25T00:01:07.155988
ETH-27MAR26-3000-C,3000.0,1774598400000,call,4017.91,0.3158,70.97,0.314,0.3175,1599.0,0.0,"{'delta': 0.80647, 'gamma': 0.00015, 'vega': 7.14997, 'theta': -1.65338, 'rho': 8.28888}",2025-10-25T00:01:07.420298
ETH-27MAR26-3000-P,3000.0,1774598400000,put,4017.91,0.0624,70.97,0.0615,0.0635,3921.0,202.0,"{'delta': -0.19353, 'gamma': 0.00015, 'vega': 7.14997, 'theta': -1.65338, 'rho': -4.32408}",2025-10-25T00:01:07.686042
ETH-27MAR26-3200-C,3200.0,1774598400000,call,4017.91,0.2829,70.24,0.2815,0.2845,8574.0,0.0,"{'delta': 0.76653, 'gamma': 0.00017, 'vega': 7.97703, 'theta': -1.82567, 'rho': 8.16907}",2025-10-25T00:01:07.942332
ETH-27MAR26-3200-P,3200.0,1774598400000,put,4017.91,0.0794,70.24,0.0785,0.0805,752.0,0.0,"{'delta': -0.23347, 'gamma': 0.00017, 'vega': 7.97703, 'theta': -1.82567, 'rho': -5.28475}",2025-10-25T00:01:08.208372
ETH-27MAR26-3400-C,3400.0,1774598400000,call,4017.91,0.2528,69.7,0.251,0.2545,12744.0,0.0,"{'delta': 0.72423, 'gamma': 0.00018, 'vega': 8.70492, 'theta': -1.97691, 'rho': 7.96293}",2025-10-25T00:01:08.468352
