symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
BTC-28NOV25-123000-C-USDT,112095.56,2048.5868524,29.56,4.0,0.25388758,2.236e-05,111.26838998,-65.50984244,0.4126,2025-10-24 10:04:55.878533
BTC-28NOV25-111000-C-USDT,112095.6,6387.77070641,11.41,1.62,0.55585822,2.691e-05,137.19496054,-82.75133917,0.4227,2025-10-24 10:04:56.210342
BTC-28NOV25-121000-P-USDT,112095.6,11412.90313996,8.15,0.0,-0.70372443,2.417e-05,120.07074498,-70.57640723,0.412,2025-10-24 10:04:56.540866
BTC-28NOV25-134000-C-USDT,112095.6,667.31457046,33.94,1.08,0.10012596,1.183e-05,61.00780925,-37.23078044,0.4277,2025-10-24 10:04:56.871203
BTC-28NOV25-102000-C-USDT,112098.88,12344.02111323,0.18,0.0,0.7710992,1.924e-05,105.17935093,-68.03175689,0.4533,2025-10-24 10:04:57.500053
BTC-28NOV25-92000-P-USDT,112098.88,792.41395621,53.53,2.01,-0.09072544,9.28e-06,56.73826154,-41.05400954,0.5071,2025-10-24 10:04:57.829992
BTC-28NOV25-104000-P-USDT,112098.88,2741.98365555,57.71,11.57,-0.26991326,2.14e-05,114.82031125,-72.87717932,0.4448,2025-10-24 10:04:58.216507
BTC-28NOV25-128000-P-USDT,112099.03,17128.09459927,6.6,0.0,-0.83172983,1.734e-05,87.31455457,-52.00856246,0.4175,2025-10-24 10:04:58.548749
BTC-28NOV25-130000-C-USDT,112099.03,999.90845985,164.41,8.23,0.14177842,1.538e-05,77.96956791,-46.77237144,0.4204,2025-10-24 10:04:58.883407
BTC-28NOV25-98000-P-USDT,112099.03,1489.41773312,48.78,13.61,-0.16083072,1.488e-05,84.79281134,-57.19409228,0.4727,2025-10-24 10:04:59.215708
BTC-28NOV25-98000-C-USDT,112099.15,15588.55111261,0.01,0.02,0.83917093,1.487e-05,84.7923213,-57.19382831,0.4727,2025-10-24 10:04:59.568492
BTC-28NOV25-156000-C-USDT,112099.15,92.7864322,18.65,1.39,0.01624468,2.43e-06,14.08425259,-9.6870232,0.482,2025-10-24 10:04:59.942474
BTC-28NOV25-142000-C-USDT,112099.26,308.71923176,14.33,0.0,0.05017578,6.69e-06,35.92122178,-22.84684176,0.4458,2025-10-24 10:05:00.275051
BTC-28NOV25-90000-P-USDT,112099.26,640.80741925,50.78,4.12,-0.07435492,7.79e-06,48.84169419,-36.22377993,0.5198,2025-10-24 10:05:00.618187
BTC-28NOV25-108000-C-USDT,112099.35,8128.12525611,14.63,0.38,0.63532086,2.513e-05,130.51025303,-80.18272311,0.4306,2025-10-24 10:05:01.260214
BTC-28NOV25-116000-P-USDT,112099.35,7989.22990385,8.48,0.0,-0.58022703,2.718e-05,135.74860667,-80.21082054,0.4141,2025-10-24 10:05:01.656528
BTC-28NOV25-114000-C-USDT,112099.35,4916.70023639,24.36,15.24,0.47380776,2.751e-05,138.2611484,-82.20277649,0.4167,2025-10-24 10:05:02.049911
BTC-28NOV25-96000-P-USDT,112099.45,1208.56966416,35.68,4.97,-0.13352635,1.284e-05,74.84292221,-51.63730051,0.4835,2025-10-24 10:05:02.381006
BTC-28NOV25-117000-C-USDT,112099.45,3718.62929082,21.03,12.05,0.39348394,2.681e-05,133.59138764,-78.76305598,0.4132,2025-10-24 10:05:02.728481
BTC-28NOV25-130000-P-USDT,112099.45,18900.50586725,2.0,0.0,-0.85821613,1.538e-05,77.9718413,-46.77365466,0.4204,2025-10-24 10:05:03.059058
BTC-28NOV25-110000-P-USDT,112099.56,4840.39910782,63.83,6.43,-0.41706286,2.644e-05,135.55496737,-82.22348951,0.4251,2025-10-24 10:05:03.390885
BTC-28NOV25-156000-P-USDT,112099.56,43993.22992823,0.17,0.0,-0.98375477,2.43e-06,14.08471127,-9.68731272,0.482,2025-10-24 10:05:03.726361
BTC-28NOV25-142000-P-USDT,112099.56,30209.16897311,0.0,0.0,-0.94982283,6.69e-06,35.92209519,-22.84735544,0.4458,2025-10-24 10:05:04.057837
BTC-28NOV25-113000-C-USDT,112099.63,5376.16058473,26.73,1.4,0.50122781,2.746e-05,138.55950662,-82.71060629,0.4184,2025-10-24 10:05:04.391083
BTC-28NOV25-108000-P-USDT,112099.63,4028.67641622,56.13,3.31,-0.36467216,2.513e-05,130.5096744,-80.18253346,0.4306,2025-10-24 10:05:05.028706
BTC-28NOV25-100000-C-USDT,112099.72,13930.95123723,0.61,0.5,0.80746434,1.703e-05,95.01937327,-62.72415334,0.4626,2025-10-24 10:05:05.362609
BTC-28NOV25-114000-P-USDT,112099.72,6817.15309014,10.46,0.2,-0.5261821,2.751e-05,138.26174488,-82.20325899,0.4167,2025-10-24 10:05:05.706201
