symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
ETH-26OCT25-3775-P-USDT,3959.81601738,14.80054679,13.7,14.0,-0.14983981,0.00124769,0.67190837,-11.23750138,0.6476,2025-10-24 12:32:21.044966
ETH-26OCT25-3825-P-USDT,3959.19644007,22.35486638,483.2,584.2,-0.21523522,0.00164019,0.84302381,-13.46123748,0.6183,2025-10-24 12:32:21.394656
ETH-26OCT25-3900-P-USDT,3959.19644007,40.84248312,47.9,280.9,-0.35292521,0.00221934,1.07120943,-16.06289754,0.5806,2025-10-24 12:32:21.812649
ETH-26OCT25-3600-C-USDT,3959.19644007,362.89871084,0.0,0.0,0.95921517,0.00039847,0.25242126,-4.96770372,0.762,2025-10-24 12:32:22.163272
ETH-26OCT25-3625-P-USDT,3959.12050781,4.49237484,10.1,10.1,-0.04918625,0.00047408,0.29350176,-5.64536348,0.7448,2025-10-24 12:32:22.518092
ETH-26OCT25-3825-C-USDT,3959.12050781,156.48845314,50.7,224.5,0.78465385,0.00164081,0.84325725,-13.4642413,0.6182,2025-10-24 12:32:22.869168
ETH-26OCT25-4050-P-USDT,3958.49314998,118.81014123,13.2,17.7,-0.71305951,0.00219113,0.98188342,-13.67460275,0.5393,2025-10-24 12:32:23.525290
ETH-26OCT25-3650-P-USDT,3958.49314998,5.48504667,23.7,28.3,-0.05958767,0.00056506,0.34156081,-6.41657096,0.7274,2025-10-24 12:32:23.878170
ETH-26OCT25-3850-C-USDT,3958.88164485,136.02843819,75.2,250.3,0.74322314,0.00184946,0.92906509,-14.50478275,0.6045,2025-10-24 12:32:24.227604
ETH-26OCT25-3450-P-USDT,3958.88164485,1.18888585,29.7,43.2,-0.01335172,0.00013738,0.09876485,-2.20636211,0.865,2025-10-24 12:32:24.629977
ETH-26OCT25-3850-P-USDT,3958.88164485,27.45447163,127.9,253.8,-0.25612487,0.00184621,0.92792351,-14.49194628,0.6047,2025-10-24 12:32:24.984761
ETH-26OCT25-4000-P-USDT,3959.07668772,86.0030738,60.9,94.7,-0.59446736,0.00245477,1.1177922,-15.81591178,0.5479,2025-10-24 12:32:25.339129
ETH-26OCT25-3925-C-USDT,3959.07668772,83.8005975,162.9,206.9,0.59048087,0.002362,1.12053254,-16.51634328,0.5707,2025-10-24 12:32:25.695655
ETH-26OCT25-4400-P-USDT,3959.07668772,441.51621071,1.0,1.0,-0.99002494,0.00014948,0.07667714,-1.22208103,0.6171,2025-10-24 12:32:26.061921
ETH-26OCT25-4100-P-USDT,3957.95468437,157.99333511,0.0,0.0,-0.81009099,0.00174539,0.78195574,-10.89104657,0.5393,2025-10-24 12:32:26.417746
ETH-26OCT25-3600-P-USDT,3957.95468437,3.67973292,37.6,44.7,-0.04071766,0.00039958,0.25200103,-4.9407801,0.7591,2025-10-24 12:32:26.772364
ETH-26OCT25-4200-C-USDT,3958.17983574,5.13290416,415.2,505.6,0.07330923,0.00087225,0.40099756,-5.73056306,0.5533,2025-10-24 12:32:27.435760
ETH-26OCT25-4300-P-USDT,3958.17983574,343.4919161,0.0,0.0,-0.97344239,0.00036662,0.177213,-2.6627461,0.5818,2025-10-24 12:32:28.140410
ETH-26OCT25-3900-C-USDT,3957.90697949,99.19930479,137.1,209.1,0.64422233,0.00222668,1.07390982,-16.10257039,0.5806,2025-10-24 12:32:28.491647
ETH-26OCT25-3925-P-USDT,3957.90697949,50.16017954,116.0,256.1,-0.412236,0.00236806,1.12195566,-16.52630564,0.5703,2025-10-24 12:32:28.849323
ETH-26OCT25-3700-C-USDT,3957.91712726,266.03620971,0.0,0.0,0.91330856,0.00079122,0.45518387,-8.14128242,0.6925,2025-10-24 12:32:29.209042
ETH-26OCT25-4025-C-USDT,3957.91712726,35.04118725,36.7,98.3,0.342694,0.00234748,1.05929963,-14.86130329,0.5432,2025-10-24 12:32:29.558363
ETH-26OCT25-3550-C-USDT,3957.91712726,410.42515511,0.0,0.0,0.97199343,0.00028094,0.1852288,-3.79686185,0.7936,2025-10-24 12:32:29.912155
ETH-26OCT25-4300-C-USDT,3958.11092911,1.66657923,520.8,573.8,0.02648257,0.00036572,0.17678174,-2.65677672,0.5819,2025-10-24 12:32:30.271186
ETH-26OCT25-3550-P-USDT,3958.11092911,2.50463427,13.0,14.0,-0.02796861,0.00028057,0.18502819,-3.79330791,0.7938,2025-10-24 12:32:30.625191
ETH-26OCT25-3725-P-USDT,3958.11092911,9.93853384,11.7,19.3,-0.10447346,0.00092891,0.52223472,-9.12729924,0.6767,2025-10-24 12:32:30.980776
ETH-26OCT25-4150-C-USDT,3958.16008456,9.10003975,107.5,190.8,0.11998042,0.00127578,0.57655369,-8.09993416,0.544,2025-10-24 12:32:31.630663
ETH-26OCT25-3950-P-USDT,3958.16008456,60.4870113,45.6,99.2,-0.47173044,0.00245919,1.14706938,-16.63276091,0.5614,2025-10-24 12:32:32.003971
ETH-26OCT25-4100-C-USDT,3958.17423934,15.98749198,130.0,223.9,0.19027911,0.00174747,0.78292124,-10.90449573,0.5393,2025-10-24 12:32:32.368637
ETH-26OCT25-3400-P-USDT,3958.17423934,0.83556117,7.2,2.7,-0.00937051,9.701e-05,0.07258221,-1.68832027,0.9006,2025-10-24 12:32:32.729364
ETH-26OCT25-3400-C-USDT,3958.17423934,559.00980051,0.0,0.0,0.9906295,9.701e-05,0.07258221,-1.68832027,0.9006,2025-10-24 12:32:33.084730
ETH-26OCT25-3750-C-USDT,3958.1726597,220.35318125,0.0,0.0,0.87414554,0.00108534,0.59620479,-10.18138934,0.6612,2025-10-24 12:32:33.434026
ETH-26OCT25-3875-P-USDT,3958.1726597,33.77857925,219.4,396.4,-0.30356949,0.00204843,1.00756981,-15.40685985,0.592,2025-10-24 12:32:33.819977
ETH-26OCT25-3350-C-USDT,3958.1726597,608.76219307,0.0,0.0,0.99341339,6.838e-05,0.05323037,-1.28823516,0.937,2025-10-24 12:32:34.170847
ETH-26OCT25-3800-C-USDT,3958.39121258,176.7063234,0.1,4.9,0.81881171,0.0014472,0.75953759,-12.39120872,0.6316,2025-10-24 12:32:34.527011
ETH-26OCT25-4000-C-USDT,3958.39121258,44.67516285,163.3,375.8,0.40430954,0.00245365,1.1167719,-15.80006037,0.5478,2025-10-24 12:32:34.894329
ETH-26OCT25-3800-P-USDT,3958.85841647,18.24817042,95.3,185.9,-0.18059659,0.00144353,0.75806923,-12.37189945,0.6319,2025-10-24 12:32:35.551902
ETH-26OCT25-4050-C-USDT,3958.85841647,27.51446309,183.0,206.7,0.28814998,0.0021909,0.98389348,-13.73151649,0.5404,2025-10-24 12:32:35.909408
ETH-26OCT25-3975-C-USDT,3959.02698616,56.09058998,58.0,147.1,0.46784092,0.00248994,1.14640796,-16.40338881,0.554,2025-10-24 12:32:36.281841
ETH-26OCT25-4025-P-USDT,3959.02698616,101.40691761,16.2,32.7,-0.65466676,0.00235314,1.06262987,-14.91178306,0.5433,2025-10-24 12:32:36.638025
ETH-26OCT25-3450-C-USDT,3959.02698616,510.21445428,0.0,0.0,0.98666374,0.00013723,0.09866621,-2.20453055,0.865,2025-10-24 12:32:37.012436
ETH-26OCT25-3650-C-USDT,3959.31345825,314.43041193,0.0,0.0,0.94107284,0.00056121,0.33862095,-6.34922788,0.7259,2025-10-24 12:32:37.375944
