symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
SOL-27OCT25-201-C-USDT,193.31901241,2.24940325,0.0,0.0,0.28966421,0.02668538,0.06088374,-0.70901351,0.7205,2025-10-24 08:45:57.162973
SOL-27OCT25-180-P-USDT,193.32555095,1.32332157,0.0,0.0,-0.16415419,0.01683517,0.04403036,-0.58774145,0.8258,2025-10-24 08:45:57.494106
SOL-27OCT25-194-P-USDT,193.32555095,5.49399217,0.0,0.0,-0.50754172,0.03094805,0.07098582,-0.8310154,0.7243,2025-10-24 08:45:57.822175
SOL-27OCT25-160-C-USDT,193.32555095,33.51155636,0.0,0.0,0.97511642,0.00304393,0.01036066,-0.1799864,1.0747,2025-10-24 08:45:58.150768
SOL-27OCT25-165-P-USDT,193.32394138,0.29588203,0.0,0.0,-0.03959282,0.00476898,0.01520889,-0.24755903,1.007,2025-10-24 08:45:58.539775
SOL-27OCT25-165-C-USDT,193.32394138,28.61982341,0.0,0.0,0.96040719,0.00476898,0.01520889,-0.24755903,1.007,2025-10-24 08:45:58.870883
SOL-27OCT25-205-C-USDT,193.32583505,1.42284494,0.0,0.0,0.2014903,0.02158041,0.05004595,-0.59236291,0.7323,2025-10-24 08:45:59.203061
SOL-27OCT25-215-C-USDT,193.32583505,0.47083252,0.0,0.0,0.07674398,0.01026346,0.025637,-0.32684755,0.7887,2025-10-24 08:45:59.536744
SOL-27OCT25-170-C-USDT,193.32583505,23.8050799,0.0,0.0,0.93647202,0.00742828,0.02216692,-0.33761903,0.9422,2025-10-24 08:45:59.882299
SOL-27OCT25-175-C-USDT,193.32584011,19.11627716,0.0,0.0,0.89762854,0.01138241,0.03177085,-0.45261405,0.8813,2025-10-24 08:46:00.233625
SOL-14NOV25-140-P-USDT,193.93669754,1.23993492,0.0,0.0,-0.06002138,0.00271782,0.05555204,-0.1238353,0.9405,2025-10-24 08:46:00.895911
SOL-14NOV25-198-C-USDT,193.93666667,13.88982301,1.0,1.0,0.49972157,0.01013606,0.18599158,-0.37220434,0.8443,2025-10-24 08:46:01.224253
SOL-14NOV25-120-P-USDT,193.93666667,0.37060996,0.0,0.0,-0.01940806,0.00098486,0.02200463,-0.05361934,1.028,2025-10-24 08:46:01.561656
SOL-14NOV25-300-C-USDT,193.93666667,0.66859729,0.0,0.0,0.03976639,0.00189568,0.0399844,-0.09197764,0.9705,2025-10-24 08:46:01.890592
SOL-14NOV25-186-C-USDT,193.94354043,19.68133112,0.0,0.0,0.62062304,0.00964617,0.17742369,-0.35590402,0.8463,2025-10-24 08:46:02.225303
SOL-14NOV25-240-P-USDT,193.94354043,49.79895413,0.0,0.0,-0.81618122,0.00647707,0.12395509,-0.25869312,0.8805,2025-10-24 08:46:02.563445
SOL-14NOV25-218-C-USDT,193.94354043,7.47944762,0.0,0.0,0.32063836,0.00897581,0.16686719,-0.33830065,0.8553,2025-10-24 08:46:02.890991
SOL-14NOV25-170-P-USDT,193.93844637,5.97124585,5.0,25.0,-0.22986303,0.00755016,0.14152206,-0.2892855,0.8624,2025-10-24 08:46:03.220969
SOL-14NOV25-208-P-USDT,193.93844637,24.29282607,0.0,0.0,-0.59542133,0.00980235,0.18064712,-0.36306935,0.8479,2025-10-24 08:46:03.552987
SOL-14NOV25-80-P-USDT,193.93844637,0.02523193,0.0,0.0,-0.00135364,7.357e-05,0.00207142,-0.00636102,1.2955,2025-10-24 08:46:03.885370
SOL-14NOV25-182-C-USDT,193.93203757,21.97003775,0.0,0.0,0.66028885,0.00925738,0.17076496,-0.34355494,0.8488,2025-10-24 08:46:04.521729
SOL-14NOV25-184-C-USDT,193.93203757,20.80155788,0.0,0.0,0.6405524,0.00946538,0.17432122,-0.35014615,0.8474,2025-10-24 08:46:04.848003
SOL-14NOV25-192-C-USDT,193.93203757,16.58224582,4.0,4.0,0.55993764,0.01002116,0.18388389,-0.36800706,0.8443,2025-10-24 08:46:05.190560
SOL-14NOV25-100-P-USDT,193.93465083,0.10124431,0.0,0.0,-0.00546884,0.00029346,0.00730079,-0.01980947,1.1447,2025-10-24 08:46:05.523778
SOL-14NOV25-188-P-USDT,193.93465083,12.6679221,0.0,0.0,-0.39953731,0.00979997,0.18006055,-0.36081778,0.8454,2025-10-24 08:46:05.854546
SOL-14NOV25-196-C-USDT,193.93465083,14.7434998,0.0,0.0,0.51963639,0.01012613,0.18576406,-0.37166836,0.8441,2025-10-24 08:46:06.191502
SOL-14NOV25-188-C-USDT,193.92831118,18.59889482,5.0,5.0,0.6004004,0.00980061,0.180062,-0.36082404,0.8454,2025-10-24 08:46:06.519126
